Num,Name,Type,Invite Num,Num Quali,First,Second,Third
1,The Birstall Cup Sponsored by GAN,Open,N/A,64,N/A,N/A,N/A
2,The La Paz Cubing Open,Open,N/A,64,N/A,N/A,N/A
3,Speedcubes Massive Battle in Berlin,Open,N/A,128,N/A,N/A,N/A
4,Speedcubes London Open,Open,N/A,64,N/A,N/A,N/A
5,The Staten Island Cup Sponsored by GAN,Open,N/A,64,N/A,N/A,N/A
6,The Tallahassee Big Double,Open,N/A,128,N/A,N/A,N/A
7,The MoYu Perth Invitational Cup,Invite,100,64,N/A,N/A,N/A
8,The Berlin Cup Sponsored by GAN,Invite,100,64,N/A,N/A,N/A
9,The Johannesburg Cubing Invitational,Invite,50,32,N/A,N/A,N/A
10,Moscow Invitational,Invite,50,32,N/A,N/A,N/A
11,Season 3 Championship in Tokyo,Invite,16,16,N/A,N/A,N/A
